behavior_tag,standard,Material_category,material_name,condition,ultimate_tensile_strength,yield_strength,elongation_pct,brinell_hb,vickers_hv,youngs_modulus,shear_modulus,poisson_ratio,density_kg_m3,description,critical_strain_energy_density
Ductile,ANSI,Steel,Steel SAE 1015,as-rolled,421000000,314000000,39,126,,207000000000,79000000000,0.3,7860,,15742350000
Ductile,ANSI,Steel,Steel SAE 1015,normalized,424000000,324000000,37,121,,207000000000,79000000000,0.3,7860,,14169150000
Ductile,ANSI,Steel,Steel SAE 1015,annealed,386000000,284000000,37,111,,207000000000,79000000000,0.3,7860,,14169150000
Ductile,ANSI,Steel,Steel SAE 1020,as-rolled,448000000,331000000,36,143,,207000000000,79000000000,0.3,7860,,13413600000
Ductile,ANSI,Steel,Steel SAE 1020,normalized,441000000,346000000,35.8,131,,207000000000,79000000000,0.3,7860,,13264974000
Ductile,ANSI,Steel,Steel SAE 1020,annealed,395000000,295000000,36.5,111,,207000000000,79000000000,0.3,7860,,13788787500
Ductile,ANSI,Steel,Steel SAE 1022,as-rolled,503000000,359000000,35,149,,207000000000,79000000000,0.3,7860,,12678750000
Ductile,ANSI,Steel,Steel SAE 1022,normalized,483000000,359000000,34,143,,207000000000,79000000000,0.3,7860,,11964600000
Ductile,ANSI,Steel,Steel SAE 1022,annealed,450000000,317000000,35,137,,207000000000,79000000000,0.3,7860,,12678750000
Ductile,ANSI,Steel,Steel SAE 1030,as-rolled,552000000,345000000,32,179,,207000000000,79000000000,0.3,7860,,10598400000
Ductile,ANSI,Steel,Steel SAE 1030,normalized,517000000,345000000,32,149,,207000000000,79000000000,0.3,7860,,10598400000
Ductile,ANSI,Steel,Steel SAE 1030,annealed,464000000,341000000,31,126,,207000000000,79000000000,0.3,7860,,9946350000
Ductile,ANSI,Steel,Steel SAE 1030,tempered at 400 F,848000000,648000000,17,495,,207000000000,79000000000,0.3,7860,,2991150000
Ductile,ANSI,Steel,Steel SAE 1040,as-rolled,621000000,414000000,25,201,,207000000000,79000000000,0.3,7860,,6468750000
Ductile,ANSI,Steel,Steel SAE 1040,normalized,590000000,374000000,28,170,,207000000000,79000000000,0.3,7860,,8114400000
Ductile,ANSI,Steel,Steel SAE 1040,annealed,519000000,353000000,30,149,,207000000000,79000000000,0.3,7860,,9315000000
Ductile,ANSI,Steel,Steel SAE 1040,tempered at 400 F,779000000,593000000,19,262,,207000000000,79000000000,0.3,7860,,3736350000
Ductile,ANSI,Steel,Steel SAE 1050,as-rolled,724000000,414000000,20,229,,207000000000,79000000000,0.3,7860,,4140000000
Ductile,ANSI,Steel,Steel SAE 1050,normalized,748000000,427000000,20,217,,207000000000,79000000000,0.3,7860,,4140000000
Ductile,ANSI,Steel,Steel SAE 1050,annealed,636000000,365000000,23.7,187,,207000000000,79000000000,0.3,7860,,5813491500
Limited ductility,ANSI,Steel,Steel SAE 1050,tempered at 600 F,979000000,724000000,14,321,,207000000000,79000000000,0.3,7860,,2028600000
Ductile,ANSI,Steel,Steel SAE 1060,as-rolled,814000000,483000000,17,241,,207000000000,79000000000,0.3,7860,,2991150000
Ductile,ANSI,Steel,Steel SAE 1060,normalized,776000000,421000000,18,229,,207000000000,79000000000,0.3,7860,,3353400000
Ductile,ANSI,Steel,Steel SAE 1060,annealed,626000000,372000000,22.5,179,,207000000000,79000000000,0.3,7860,,5239687500
Limited ductility,ANSI,Steel,Steel SAE 1060,tempered at 600 F,1100000000,779000000,13,321,,207000000000,79000000000,0.3,7860,,1749150000
Limited ductility,ANSI,Steel,Steel SAE 1080,as-rolled,965000000,586000000,12,293,,207000000000,79000000000,0.3,7860,,1490400000
Limited ductility,ANSI,Steel,Steel SAE 1080,normalized,1010000000,524000000,11,293,,207000000000,79000000000,0.3,7860,,1252350000
Ductile,ANSI,Steel,Steel SAE 1080,annealed,615000000,376000000,24.7,174,,207000000000,79000000000,0.3,7860,,6314431500
Limited ductility,ANSI,Steel,Steel SAE 1080,tempered at 600 F,1300000000,979000000,12,388,,207000000000,79000000000,0.3,7860,,1490400000
Limited ductility,ANSI,Steel,Steel SAE 1095,as-rolled,965000000,572000000,9,293,,207000000000,79000000000,0.3,7860,,838350000
Limited ductility,ANSI,Steel,Steel SAE 1095,normalized,1010000000,500000000,9.5,293,,207000000000,79000000000,0.3,7860,,934087500
Limited ductility,ANSI,Steel,Steel SAE 1095,annealed,657000000,379000000,13,192,,207000000000,79000000000,0.3,7860,,1749150000
Limited ductility,ANSI,Steel,Steel SAE 1095,tempered at 400 F,1290000000,827000000,10,401,,207000000000,79000000000,0.3,7860,,1035000000
Ductile,ANSI,Steel,Steel SAE 1117,as-rolled,487000000,305000000,33,143,,207000000000,79000000000,0.3,7860,,11271150000
Ductile,ANSI,Steel,Steel SAE 1117,normalized,467000000,303000000,33.5,137,,207000000000,79000000000,0.3,7860,,11615287500
Ductile,ANSI,Steel,Steel SAE 1117,annealed,429000000,279000000,32.8,121,,207000000000,79000000000,0.3,7860,,11134944000
Ductile,ANSI,Steel,Steel SAE 1118,as-rolled,521000000,316000000,32,149,,207000000000,79000000000,0.3,7860,,10598400000
Ductile,ANSI,Steel,Steel SAE 1118,normalized,477000000,319000000,33.5,143,,207000000000,79000000000,0.3,7860,,11615287500
Ductile,ANSI,Steel,Steel SAE 1118,annealed,450000000,284000000,34.5,131,,207000000000,79000000000,0.3,7860,,12319087500
